Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,OBJECTID
"2018500287490","290397","96360",-3.555225,50.756444,"50","3","1","1",14/04/2018,"7",00:39:00,"580",E10000008,"3","377","6","40","0","-1","-1","0","0","0","6","1","1","0","0","2","1",E01019903,"407"
"2018500292273","290999","97554",-3.547048,50.767291,"50","2","1","1",30/04/2018,"2",17:47:00,"580",E10000008,"6","0","6","30","3","4","6","0","0","0","1","1","1","0","0","2","1",E01019903,"407"
"2018500324997","290613","95609",-3.551941,50.749734,"50","2","1","1",26/08/2018,"1",09:16:00,"580",E10000008,"3","377","6","40","0","-1","-1","0","0","0","1","2","2","0","0","2","1",E01019903,"407"
"2018500271833","296886","95097",-3.462909,50.74628,"50","2","1","1",09/02/2018,"6",02:24:00,"580",E10000008,"4","3181","6","30","3","4","6","0","0","0","4","2","2","4","0","2","2",E01019893,"414"
"2018500294831","297277","95479",-3.457475,50.749784,"50","3","1","1",30/04/2018,"2",15:30:00,"580",E10000008,"4","3181","6","40","3","4","6","0","0","0","1","1","1","0","0","2","2",E01019893,"414"
"2018500303390","296989","95210",-3.461481,50.747315,"50","3","1","1",04/06/2018,"2",08:24:00,"580",E10000008,"4","3181","6","30","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019893,"414"
"2018500311627","296890","93155",-3.462308,50.728823,"50","3","2","1",06/07/2018,"6",16:11:00,"580",E10000008,"1","5","3","70","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019893,"414"
"2018500325441","298521","98800",-3.440764,50.779859,"50","3","2","1",19/08/2018,"1",12:00:00,"580",E10000008,"4","3181","6","40","3","4","6","0","0","0","1","1","1","0","0","2","1",E01019891,"414"
"2018500800446","297934","99317",-3.449231,50.784403,"50","3","4","1",06/10/2018,"7",12:18:00,"580",E10000008,"1","5","3","70","0","-1","-1","0","0","0","1","1","2","0","0","2","1",E01019891,"414"
"2018500801230","298316","99703",-3.443921,50.78794,"50","2","2","3",04/11/2018,"1",16:20:00,"580",E10000008,"6","0","6","40","0","-1","-1","0","0","0","6","2","2","0","0","2","1",E01019891,"414"
"2018500806565","297843","100134",-3.450749,50.791732,"50","2","1","1",29/11/2018,"5",07:38:00,"580",E10000008,"6","0","6","30","0","-1","-1","0","0","0","1","5","2","0","2","2","1",E01019891,"414"
"2018500807496","302421","97332",-3.385073,50.767331,"50","3","2","2",22/12/2018,"7",14:19:00,"580",E10000008,"6","0","6","60","0","-1","-1","0","0","0","1","8","2","0","0","2","1",E01019891,"414"
"2018500800081","299085","93917",-3.431427,50.736059,"50","2","2","1",21/09/2018,"6",07:15:00,"580",E10000008,"6","0","3","40","0","-1","-1","0","0","0","1","1","1","0","0","2","2",E01019893,"415"
"2018500805445","299898","93172",-3.419707,50.729503,"50","3","2","1",26/11/2018,"2",18:25:00,"580",E10000008,"3","30","3","70","0","-1","-1","0","0","0","6","1","1","0","0","2","1",E01019893,"415"
"2018500806106","299878","93172",-3.41999,50.729499,"50","3","2","2",28/12/2018,"6",12:30:00,"580",E10000008,"3","30","3","70","0","-1","-1","0","0","0","1","1","1","0","0","2","2",E01019893,"415"
"2018500806812","299159","93299",-3.430209,50.730516,"50","3","2","1",20/12/2018,"5",05:27:00,"580",E10000008,"4","3174","1","30","1","4","4","3184","0","8","4","2","2","0","0","2","1",E01019893,"415"
"2018500328858","301382","95016",-3.399181,50.746334,"50","2","1","4",08/09/2018,"7",23:28:00,"580",E10000008,"6","0","6","30","0","-1","-1","0","0","0","6","1","1","0","0","2","1",E01019893,"416"
"2018500803873","303704","95742",-3.366469,50.753251,"50","3","3","1",07/12/2018,"6",10:48:00,"580",E10000008,"4","3174","6","60","0","-1","-1","0","0","0","1","1","1","0","0","2","2",E01019893,"416"
"2018500266828","298127","88964",-3.443629,50.691364,"50","3","2","1",23/01/2018,"3",12:12:00,"580",E10000008,"3","376","6","40","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019898,"420"
"2018500270508","298039","89121",-3.444918,50.69276,"50","2","2","1",19/02/2018,"2",05:45:00,"580",E10000008,"3","376","3","60","0","-1","-1","0","0","0","5","1","2","0","0","2","1",E01019898,"420"
"2018500273918","298049","89099",-3.44477,50.692564,"50","3","4","2",19/02/2018,"2",05:45:00,"580",E10000008,"3","376","1","60","1","4","6","0","0","0","6","1","2","0","0","2","1",E01019898,"420"
"2018500284930","298074","88109",-3.444143,50.683669,"50","2","2","3",30/03/2018,"6",16:23:00,"580",E10000008,"3","376","6","40","0","-1","-1","0","0","0","1","2","2","0","0","2","1",E01019898,"420"
"2018500303352","298128","88922",-3.443603,50.690987,"50","2","1","1",04/06/2018,"2",09:40:00,"580",E10000008,"3","376","3","70","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019898,"420"
"2018500800343","298050","89148",-3.444769,50.693005,"50","3","3","2",05/10/2018,"6",15:42:00,"580",E10000008,"3","376","3","70","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019898,"420"
"2018500802789","298316","88716",-3.440886,50.689168,"50","2","2","1",15/11/2018,"5",07:30:00,"580",E10000008,"4","3179","6","40","0","-1","-1","0","0","0","1","1","1","0","0","2","2",E01019898,"420"
"2018500809115","298629","88548",-3.43641,50.687712,"50","3","3","1",18/12/2018,"3",17:40:00,"580",E10000008,"4","3179","6","60","0","-1","-1","0","0","0","6","1","5","0","0","2","1",E01019898,"420"
"2018500809468","297874","89690",-3.44741,50.697846,"50","2","1","1",27/12/2018,"5",15:03:00,"580",E10000008,"3","376","3","60","5","4","6","0","0","0","1","1","1","0","0","2","1",E01019898,"420"
"2018500263602","296895","92634",-3.462091,50.72414,"50","3","2","1",15/01/2018,"2",08:44:00,"580",E10000008,"1","5","7","70","5","4","6","0","0","0","1","5","2","0","0","1","1",E01019898,"421"
"2018500267876","297662","90938",-3.450757,50.709029,"50","2","1","1",08/02/2018,"5",07:30:00,"580",E10000008,"3","3052","6","40","0","-1","-1","0","0","4","1","1","2","0","0","2","1",E01019898,"421"
"2018500275371","299195","90825",-3.429022,50.708281,"50","3","2","1",16/02/2018,"6",12:59:00,"580",E10000008,"3","3052","6","50","3","4","6","0","0","0","1","1","1","0","0","2","2",E01019898,"421"
"2018500302493","298186","93428",-3.444027,50.731506,"50","2","2","4",02/06/2018,"7",10:24:00,"580",E10000008,"6","0","6","40","3","4","6","0","0","0","1","1","1","0","0","2","1",E01019898,"421"
"2018500319111","299609","90761",-3.423144,50.707778,"50","3","2","1",06/08/2018,"2",17:05:00,"580",E10000008,"3","3052","6","30","3","4","6","0","0","0","1","1","1","0","0","2","2",E01019898,"421"
"2018500802774","297087","93166",-3.459521,50.728957,"50","3","2","1",27/11/2018,"3",10:04:00,"580",E10000008,"1","5","7","70","0","-1","-1","0","0","0","1","2","2","0","0","2","1",E01019898,"421"
"2018500806527","299196","90822",-3.429007,50.708254,"50","3","2","2",18/12/2018,"3",20:00:00,"580",E10000008,"3","3052","6","50","3","4","6","0","0","0","4","2","2","0","0","2","1",E01019898,"421"
"2018500269675","297320","90972",-3.455609,50.709274,"50","3","2","1",30/01/2018,"3",08:20:00,"580",E10000008,"3","376","1","40","1","4","6","0","0","0","1","1","2","0","0","2","2",E01019898,"422"
"2018500270245","297340","90993",-3.455332,50.709466,"50","3","2","2",03/02/2018,"7",18:30:00,"580",E10000008,"3","3052","1","40","9","1","3","376","0","0","4","1","2","0","0","2","1",E01019898,"422"
"2018500802015","297344","90917",-3.455254,50.708784,"50","3","2","1",12/11/2018,"2",10:52:00,"580",E10000008,"3","376","1","30","1","4","3","376","0","0","1","1","2","0","0","2","1",E01019898,"422"
"2018500802836","297373","90973",-3.454859,50.709292,"50","3","1","1",19/11/2018,"2",09:59:00,"580",E10000008,"3","376","1","40","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019898,"422"
"2018500289804","300255","90726",-3.413988,50.707574,"50","3","3","1",18/04/2018,"4",14:06:00,"580",E10000008,"3","3052","6","50","3","4","6","0","0","0","1","2","2","0","0","2","1",E01019898,"423"
"2018500293908","302925","90509",-3.376129,50.706076,"50","2","2","3",08/05/2018,"3",15:35:00,"580",E10000008,"3","3052","6","50","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019898,"423"
"2018500324308","300249","90726",-3.414073,50.707573,"50","2","2","1",16/08/2018,"5",08:40:00,"580",E10000008,"3","3052","6","50","3","4","6","0","0","0","1","2","2","0","0","2","1",E01019898,"423"
"2018500329918","301849","92052",-3.391773,50.719767,"50","3","2","1",03/09/2018,"2",08:45:00,"580",E10000008,"4","3184","6","30","3","4","6","0","0","0","1","1","1","0","0","2","2",E01019898,"423"
"2018500800552","302637","90479",-3.380199,50.705758,"50","3","2","1",25/07/2018,"4",17:16:00,"580",E10000008,"4","3184","6","30","3","4","3","3052","0","0","1","1","1","0","0","2","1",E01019898,"423"
"2018500800642","300714","90559",-3.407445,50.706152,"50","3","3","3",01/10/2018,"2",08:23:00,"580",E10000008,"3","3052","6","30","3","4","6","0","0","0","1","1","1","0","0","2","1",E01019898,"423"
"2018500801346","300856","90511",-3.405421,50.705744,"50","3","3","3",02/11/2018,"6",17:44:00,"580",E10000008,"3","3052","6","50","9","4","6","0","0","0","6","9","1","0","0","2","1",E01019898,"423"
"2018500295748","308609","106478",-3.29963,50.850566,"50","3","2","6",05/05/2018,"7",15:09:00,"580",E10000008,"6","0","6","60","6","4","6","0","0","0","1","1","1","0","0","2","1",E01019960,"425"
"2018500804909","309480","102033",-3.286162,50.810741,"50","3","2","1",19/10/2018,"6",12:00:00,"580",E10000008,"6","0","6","60","0","-1","-1","0","0","0","1","1","1","0","0","2","2",E01019959,"426"
"2018500299610","313320","101770",-3.23161,50.808965,"50","2","2","1",13/05/2018,"1",09:08:00,"580",E10000008,"3","373","6","30","9","4","6","0","0","0","1","1","1","0","0","2","1",E01019959,"427"
"2018500306481","313210","101895",-3.233201,50.810072,"50","3","2","4",28/05/2018,"2",11:10:00,"580",E10000008,"3","373","6","30","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019959,"427"
"2018500313311","312602","104771",-3.242514,50.835837,"50","1","2","1",24/07/2018,"3",09:33:00,"580",E10000008,"6","0","6","60","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019959,"427"
"2018500320799","311683","102639",-3.255048,50.81653,"50","3","1","3",01/08/2018,"4",15:30:00,"580",E10000008,"3","373","6","60","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019959,"427"
"2018500259762","306294","95771",-3.329771,50.753937,"50","3","3","2",06/01/2018,"7",18:40:00,"580",E10000008,"3","30","3","70","0","-1","-1","0","0","0","6","1","2","0","0","2","1",E01019962,"428"
"2018500295756","305041","95176",-3.347375,50.748384,"50","1","1","5",21/05/2018,"2",07:01:00,"580",E10000008,"3","30","3","70","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019962,"428"
"2018500800337","304448","95894",-3.355965,50.754741,"50","3","2","2",05/10/2018,"6",13:29:00,"580",E10000008,"4","3174","6","40","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019962,"428"
"2018500803712","306191","95600",-3.331187,50.752383,"50","3","1","1",08/12/2018,"7",13:26:00,"580",E10000008,"3","30","3","70","0","-1","-1","0","0","0","1","2","2","6","0","2","1",E01019962,"428"
"2018500803721","306153","95569",-3.331718,50.752098,"50","3","1","1",08/12/2018,"7",13:26:00,"580",E10000008,"3","30","3","70","0","-1","-1","0","0","0","1","2","2","6","0","2","1",E01019962,"428"
"2018500803891","306007","95509",-3.333772,50.751535,"50","3","2","1",08/12/2018,"7",18:50:00,"580",E10000008,"3","30","7","30","1","4","4","3174","0","0","1","1","1","0","0","2","2",E01019962,"428"
"2018500806306","303975","97778",-3.36316,50.771601,"50","3","1","1",16/12/2018,"1",00:57:00,"580",E10000008,"6","0","6","30","0","-1","-1","0","0","0","6","1","1","0","0","2","1",E01019962,"428"
"2018500808329","304551","95917",-3.354511,50.754965,"50","3","2","2",31/12/2018,"2",15:04:00,"580",E10000008,"4","3174","6","40","6","4","6","0","0","0","1","8","2","0","0","2","1",E01019962,"428"
"2018500309180","308646","97157",-3.296782,50.766773,"50","3","2","1",28/06/2018,"5",11:30:00,"580",E10000008,"6","0","6","30","0","-1","-1","0","0","0","1","1","1","0","0","2","2",E01019962,"429"
"2018500320872","305707","98620",-3.338822,50.779455,"50","3","1","2",26/07/2018,"5",18:43:00,"580",E10000008,"6","0","6","60","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019962,"429"
"2018500293500","314070","108681",-3.22259,50.871211,"50","2","1","2",06/05/2018,"1",16:19:00,"580",E10000008,"6","0","6","40","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019902,"431"
"2018500312529","313252","108576",-3.234188,50.870144,"50","2","2","2",24/06/2018,"1",11:45:00,"580",E10000008,"6","0","6","30","0","-1","-1","0","0","0","1","1","1","0","0","2","2",E01019902,"431"
"2018500302070","316044","102032",-3.193017,50.811722,"50","3","2","1",28/05/2018,"2",12:37:00,"580",E10000008,"6","0","6","30","8","4","6","0","0","0","1","1","1","0","0","2","1",E01019902,"432"
"2018500800395","315147","103776",-3.20615,50.827271,"50","3","3","1",30/08/2018,"5",13:59:00,"580",E10000008,"6","0","6","60","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019902,"432"
"2018500803988","315956","103102",-3.194511,50.821329,"50","3","1","1",09/12/2018,"1",07:20:00,"580",E10000008,"6","0","6","60","9","4","6","0","0","0","1","2","2","0","0","2","1",E01019902,"432"
"2018500268905","321501","107102",-3.116664,50.858073,"50","1","2","1",13/02/2018,"3",06:58:00,"580",E10000008,"3","30","6","50","0","-1","-1","0","0","0","6","5","2","0","0","2","1",E01019938,"434"
"2018500285358","321502","107107",-3.116651,50.858118,"50","3","2","3",01/04/2018,"1",22:34:00,"580",E10000008,"3","303","6","60","0","-1","-1","0","0","0","6","5","2","0","0","2","1",E01019938,"434"
"2018500304088","321791","107496",-3.112629,50.861654,"50","3","2","3",10/06/2018,"1",14:43:00,"580",E10000008,"3","303","6","60","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019938,"434"
"2018500331021","321745","106092",-3.112982,50.849025,"50","3","2","1",10/08/2018,"6",15:15:00,"580",E10000008,"6","0","6","60","6","4","6","0","0","0","1","1","1","0","0","2","1",E01019938,"434"
"2018500331442","319542","104705",-3.143965,50.836252,"50","3","2","2",19/08/2018,"1",13:24:00,"580",E10000008,"6","0","6","60","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019938,"434"
"2018500265446","318271","102654",-3.161553,50.817633,"50","3","2","1",24/01/2018,"4",21:49:00,"580",E10000008,"3","30","6","50","0","-1","-1","0","0","0","4","1","2","4","0","2","1",E01019938,"435"
"2018500276602","318455","102872",-3.15899,50.819619,"50","3","2","1",07/03/2018,"4",08:45:00,"580",E10000008,"3","30","6","50","0","-1","-1","0","0","0","1","1","2","0","0","2","1",E01019938,"435"
"2018500800019","318165","102533",-3.16303,50.81653,"50","3","1","2",19/08/2018,"1",13:40:00,"580",E10000008,"3","30","6","60","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019938,"435"
"2018500803661","317824","102178",-3.16779,50.81329,"50","3","4","1",04/12/2018,"3",06:35:00,"580",E10000008,"3","30","6","60","0","-1","-1","0","0","0","6","5","2","7","0","2","1",E01019938,"435"
"2018500803970","319146","103933",-3.149417,50.829255,"50","3","1","2",02/12/2018,"1",12:00:00,"580",E10000008,"3","30","6","50","0","-1","-1","0","0","0","1","1","2","0","0","2","2",E01019938,"435"
"2018500273475","319662","102503",-3.141777,50.81647,"50","2","1","1",16/02/2018,"6",10:26:00,"580",E10000008,"6","0","6","60","0","-1","-1","0","0","0","1","1","2","0","0","2","1",E01019938,"436"
